max_acc1_x,max_acc1_y,max_acc1_z,max_acc2_x,max_acc2_y,max_acc2_z,max_acc3_x,max_acc3_y,max_acc3_z,max_checksum,max_gyro1_x,max_gyro1_y,max_gyro1_z,max_gyro2_x,max_gyro2_y,max_gyro2_z,max_gyro3_x,max_gyro3_y,max_gyro3_z,mean_acc1_x,mean_acc1_y,mean_acc1_z,mean_acc2_x,mean_acc2_y,mean_acc2_z,mean_acc3_x,mean_acc3_y,mean_acc3_z,mean_checksum,mean_gyro1_x,mean_gyro1_y,mean_gyro1_z,mean_gyro2_x,mean_gyro2_y,mean_gyro2_z,mean_gyro3_x,mean_gyro3_y,mean_gyro3_z,min_acc1_x,min_acc1_y,min_acc1_z,min_acc2_x,min_acc2_y,min_acc2_z,min_acc3_x,min_acc3_y,min_acc3_z,min_checksum,min_gyro1_x,min_gyro1_y,min_gyro1_z,min_gyro2_x,min_gyro2_y,min_gyro2_z,min_gyro3_x,min_gyro3_y,min_gyro3_z,move,var_acc1_x,var_acc1_y,var_acc1_z,var_acc2_x,var_acc2_y,var_acc2_z,var_acc3_x,var_acc3_y,var_acc3_z,var_checksum,var_gyro1_x,var_gyro1_y,var_gyro1_z,var_gyro2_x,var_gyro2_y,var_gyro2_z,var_gyro3_x,var_gyro3_y,var_gyro3_z
12264,-636,9056,16332,9359,28892,-10156,9376,6660,7,8760,9065,7842,-11760,6372,4728,14497,7935,6253,-10286.22,-9131.62,-110.06,-3253.405,-4900.565,-8305.79,-15694.56,-2945.64,-352.24,7.0,-6726.335,-2249.945,-1129.465,-15375.16,1683.66,1602.12,-7712.46,1498.755,1918.4,-23976,-21544,-5080,-22994,-25796,-32768,-27776,-20520,-8128,7,-32768,-20799,-9864,-20792,-1900,-2636,-20682,-4051,-5131,Jamesbond,115923019.69005024,23158383.533266332,11515688.679798994,149315040.23213565,79721209.77464825,180604192.12653267,4510451.785326633,14613464.15115578,9468264.786331657,0.0,84301329.41987437,38015936.06228643,10479175.868115578,2496529.461708543,3127898.6576884426,968551.8649246232,122834557.36522613,5145805.643190955,8090682.060301506
12264,672,9056,22671,20021,32767,-8788,19092,10404,7,32767,17949,7842,-11760,7164,5276,19059,7935,5973,-10664.46,-10790.04,-258.78,2660.095,-1986.115,-913.975,-15668.36,-2943.92,350.14,7.0,837.965,25.46,-960.925,-15096.46,2870.54,1810.74,1394.725,-133.545,-448.975,-31464,-30040,-10524,-22994,-25796,-32768,-27776,-20520,-8128,7,-32768,-20799,-9864,-20792,-1540,-2636,-20682,-9057,-5875,Jamesbond,131803109.65668342,53756580.983316585,12103541.901105529,130118045.29243718,126000428.12238693,420596366.1048996,5988377.437587939,21547589.782512564,10496069.286834171,0.0,243175058.54650754,60422912.99336682,16370416.672738694,2508463.304924623,3154046.0988944727,1447927.5702512565,180347907.25565326,11876628.85223618,11530337.019472362
18244,672,3312,22671,20021,32767,-8788,19092,10404,7,32767,17949,7477,-11960,7164,5608,19059,10466,4210,-5924.54,-9423.32,-1709.4,6331.61,3378.595,6868.165,-15746.14,-2106.18,-220.98,7.0,3588.215,681.045,-336.18,-15021.36,2612.84,1783.04,5289.72,-941.385,-1319.455,-31464,-30040,-10524,-15656,-10738,-11117,-28056,-32768,-21496,7,-29566,-13952,-9484,-23172,-4420,-1904,-18161,-9057,-5875,Jamesbond,191802827.8476382,38163519.53527638,5331506.934673367,82782992.47025125,35653193.840175875,187474528.53042713,5073298.311959799,22772351.96743719,14371438.23075377,0.0,231559314.42087942,48828582.84721106,13164516.590552766,2681143.8697487437,4018823.1702512563,2044071.4355778894,121125648.0116583,11289832.951532664,9121672.882386934
18244,-3188,8396,27690,23078,32767,-8356,25728,15584,7,26551,13141,8549,-12060,5960,5608,17675,10466,4210,-5276.12,-9270.18,-1138.4,6498.755,3654.625,6113.29,-15969.58,-1109.86,-711.84,7.0,3565.165,-10.65,-11.435,-14916.18,2572.12,2093.2,5286.71,-807.63,-1668.125,-24176,-31728,-7180,-18846,-10738,-11117,-32768,-32768,-21496,7,-29566,-13952,-28386,-23172,-4420,-1904,-18161,-5703,-5798,Jamesbond,174140276.7292462,32257524.871959805,7168322.894472361,83875707.63314071,46558997.7129397,167627341.1918593,5451809.269949749,23040079.739095476,13564462.125025127,0.0,236436840.39977387,36347592.690954775,15204336.166608041,2201523.8267336683,3910290.96040201,2378233.889447236,119361729.6441206,8890945.86241206,10018559.667713568
-892,-4512,8396,27690,23078,32767,-8356,25728,15584,7,26551,13141,8549,-12728,6992,6400,17675,2429,3259,-15509.06,-9301.88,-557.34,6233.51,4441.955,6182.09,-15908.6,-409.84,-944.0,7.0,7416.57,1623.255,555.085,-14990.82,2498.9,2589.24,8185.835,-1432.32,-2665.425,-24176,-31728,-5456,-18846,-5038,-4625,-32768,-10744,-5540,7,-9712,-6963,-28386,-20572,-2100,0,-14406,-5703,-5798,Jamesbond,10636717.745125627,31661502.699095476,6048086.878793971,118370861.88934675,41848388.033140704,127793154.96673368,3047255.59798995,9535978.104924623,6776704.3216080405,0.0,93069430.26643217,14003039.396959797,8881992.701281408,1303390.359396985,4377359.266331659,1627804.5250251258,80389066.91233666,3221074.449849246,5072354.537060302
8708,-4640,13516,17895,7195,6497,-7756,8504,9812,7,9119,7440,5419,-12104,6992,6400,13290,3485,6512,-13219.96,-9894.46,1756.28,148.375,-6076.705,-6209.83,-15856.72,-62.4,-1133.32,7.0,-4548.975,-708.19,-1309.245,-15222.98,775.76,2303.4,-6087.44,345.815,1601.995,-21772,-22860,-5456,-17044,-30385,-29258,-20980,-5632,-9056,7,-31759,-14956,-11795,-20572,-3304,0,-17595,-3725,-3729,Jamesbond,38398176.15919598,20997251.807437185,21118019.619698487,121982997.07977387,117692224.39997484,102391193.25738692,1761610.4136683417,4751352.442211055,7455887.615678391,0.0,81561471.33103016,12975917.823015073,7336455.090427135,1204263.8789949748,5322344.143115578,1683237.5879396985,132459374.86070351,1799028.814849246,11092828.587914573
16356,-3132,13516,16539,22153,32767,-7756,11976,9812,7,29868,18689,6549,-12036,7940,5332,12282,9029,6512,-4722.06,-11335.26,1166.08,-2323.665,-4845.965,-983.275,-16031.3,-1012.0,-622.12,7.0,-3701.64,-332.32,-1334.96,-14753.74,2198.72,2555.44,-6582.485,9.895,2016.125,-32768,-28668,-6268,-17044,-30385,-29258,-24920,-32768,-12332,7,-31759,-14956,-11795,-20572,-3304,108,-17595,-8886,-6208,Jamesbond,181119544.43859297,36561321.98231156,26304993.440804016,63839785.48017588,169036430.80781406,335386291.0144473,3491202.643216081,20419513.889447235,10268779.885025125,0.0,190262538.55316585,32464039.54532663,10203727.66673367,2000486.5250251258,9255512.24281407,1501893.1521608038,114556675.05505025,10489918.446206031,13615415.04459799
16356,-1688,4648,32767,22153,32767,-8800,11976,7148,7,29868,18689,11816,-11736,7940,5308,19264,9029,5803,-7352.72,-8402.06,-1464.44,6982.85,3467.84,6298.085,-16003.94,-1083.48,-515.02,7.0,6234.42,854.93,889.77,-14815.86,2908.4,2415.38,7845.915,-720.87,-2629.54,-32768,-28668,-9004,-9898,-9643,-10913,-24920,-32768,-12332,7,-24859,-11449,-10344,-20572,-2468,60,-15779,-8886,-8994,Jamesbond,190516525.95135677,26612762.20743719,5763259.946130655,93753312.45979899,47772024.47678392,166850548.5605779,4159142.830552764,24195757.235778894,8145018.773467337,0.0,131407622.92824121,26517005.623216078,8737693.816180905,3006457.9501507534,6990038.351758794,1251229.6036180905,77659669.64600502,10858267.751859296,13340230.521005021
-11352,-1688,14608,32767,8042,13683,-8800,9432,7148,7,22266,10267,11816,-11736,6344,6624,19264,4429,6802,-16135.7,-7657.42,1354.52,2142.015,-2304.875,-1422.305,-15868.2,70.18,-781.66,7.0,1486.15,328.005,122.985,-15140.02,458.16,2417.46,764.84,-382.485,-893.075,-21656,-15492,-9004,-25070,-29757,-16098,-21820,-19336,-6528,7,-16087,-7597,-6790,-20432,-4564,60,-20518,-4458,-8994,Jamesbond,3073905.67839196,4941714.31517588,22668666.100100502,233383631.0198744,71521300.33103015,26788761.0170603,2572125.8693467337,9666251.706130654,5809189.99437186,0.0,86050200.73115578,9656609.29143216,8386907.381683417,2012332.783517588,6510920.336080402,1144237.3752763818,192669520.03457284,3159563.115351759,19558986.16017588
15216,304,14608,18108,15589,32767,-10688,9188,5580,7,17372,8075,5685,-12428,6288,6624,7720,8674,6802,-7743.88,-9155.94,1734.82,-6412.355,-7121.005,-4406.785,-15897.2,-620.7,-1769.0,7.0,-7315.61,-1353.515,-1913.09,-15264.78,982.96,2094.3,-9395.94,225.93,2966.78,-21656,-22704,-5332,-25070,-31831,-28141,-31472,-17068,-7280,7,-25714,-12886,-11366,-20792,-4564,-308,-20518,-7671,-1176,Jamesbond,131709568.46793969,26339599.996381912,32460776.972462308,86142764.10952263,140111368.68841708,211348749.32540202,3669665.9296482406,10693856.3919598,6748320.603015075,0.0,87536920.68130654,19448198.904296484,8360189.559698493,1718932.855879397,5597019.696884423,1290640.1507537689,65432930.41849246,8188927.46241206,4704789.177487437
