timestamp                        , action     , goal       , time_delta         , correct , voltage , current , power , cumpower
Thu Apr 18 02:11:05 2019.071428  , cowboy     , cowboy     , 4.135622024536133  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:11:10 2019.1898592 , doublepump , doublepump , 5.108886003494263  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:11:13 2019.13671   , doublepump , jamesbond  , 2.9356508255004883 , False , 0 , 0 , 0 , 0
Thu Apr 18 02:11:16 2019.453054  , doublepump , doublepump , 3.3113410472869873 , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:11:21 2019.6632059 , runningman , runningman , 5.205328941345215  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:11:26 2019.5762198 , doublepump , doublepump , 4.903709888458252  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:11:29 2019.6468081 , doublepump , jamesbond  , 3.0636820793151855 , False , 0 , 0 , 0 , 0
Thu Apr 18 02:11:35 2019.1909702 , raffles    , raffles    , 5.539225101470947  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:11:39 2019.6820931 , hunchback  , hunchback  , 4.481567144393921  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:11:44 2019.3927438 , crab       , crab       , 4.704745769500732  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:11:49 2019.205795  , runningman , runningman , 4.805776119232178  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:11:52 2019.4829152 , hunchback  , hunchback  , 3.2687020301818848 , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:11:57 2019.391955  , cowboy     , cowboy     , 4.903388977050781  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:00 2019.776457  , hunchback  , hunchback  , 3.376800060272217  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:06 2019.3065522 , doublepump , jamesbond  , 5.522622108459473  , False , 0 , 0 , 0 , 0
Thu Apr 18 02:12:12 2019.118389  , chicken    , chicken    , 5.804543972015381  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:17 2019.08658   , mermaid    , mermaid    , 4.962670803070068  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:22 2019.0852852 , raffles    , raffles    , 4.992757081985474  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:25 2019.967345  , jamesbond  , jamesbond  , 3.8741631507873535 , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:30 2019.472548  , snake      , snake      , 4.498616933822632  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:35 2019.4003541 , cowboy     , cowboy     , 4.922133207321167  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:39 2019.972756  , snake      , snake      , 4.565100908279419  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:45 2019.017689  , chicken    , chicken    , 5.039025068283081  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:48 2019.332835  , snake      , snake      , 3.3104517459869385 , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:53 2019.223047  , chicken    , chicken    , 4.884267091751099  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:12:58 2019.32688   , hunchback  , hunchback  , 5.0945868492126465 , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:04 2019.881587  , raffles    , raffles    , 6.54797101020813   , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:09 2019.565522  , doublepump , doublepump , 4.677840948104858  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:14 2019.505909  , runningman , runningman , 4.934248924255371  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:19 2019.4203498 , crab       , crab       , 4.908243894577026  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:22 2019.645877  , crab       , crab       , 3.219613790512085  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:27 2019.508665  , mermaid    , mermaid    , 4.856590032577515  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:30 2019.785835  , mermaid    , mermaid    , 3.270210027694702  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:35 2019.8034291 , runningman , runningman , 5.01249623298645   , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:40 2019.9300091 , chicken    , chicken    , 5.12046217918396   , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:45 2019.635239  , mermaid    , mermaid    , 4.6981329917907715 , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:50 2019.550119  , crab       , crab       , 4.909677743911743  , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:55 2019.4651158 , raffles    , raffles    , 4.90738582611084   , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:13:58 2019.741358  , snake      , snake      , 3.2707571983337402 , True  , 0 , 0 , 0 , 0
Thu Apr 18 02:14:03 2019.532834  , cowboy     , cowboy     , 4.78560996055603   , True  , 0 , 0 , 0 , 0
